kind,wiki_display,code,yes_votes,no_votes,note
lad,Bristol,E06000023,,,"Wikipedia uses bare ""Bristol""; ONS calls it ""Bristol, City of"""
lad,Herefordshire,E06000019,,,"Wikipedia uses bare ""Herefordshire""; ONS calls it ""Herefordshire, County of"""
lad,Kingston upon Hull,E06000010,,,"Wikipedia uses bare ""Kingston upon Hull""; ONS calls it ""Kingston upon Hull, City of"""
spc,Edinburgh North and Leith,S16000106,,,"Wikipedia uses ""Edinburgh North and Leith""; the canonical Holyrood name is ""Edinburgh Northern and Leith"""
spc,Orkney,S16000135,,,"Wikipedia uses bare ""Orkney""; the canonical Holyrood name is ""Orkney Islands"""
spc,Shetland,S16000142,,,"Wikipedia uses bare ""Shetland""; the canonical Holyrood name is ""Shetland Islands"""
lad,Cotswold,E07000079,9462,24367,Wikipedia row duplicated Cheltenham's votes; HoC RP11-44 has 9462 Yes / 24367 No
lad,North Devon,E07000043,10446,23637,Wikipedia row duplicated North Dorset's votes; HoC RP11-44 has 10446 Yes / 23637 No
lad,Wiltshire,E06000054,45782,113459,Wikipedia row duplicated Weymouth and Portland's votes; HoC RP11-44 has 45782 Yes / 113459 No
