council,scraped_name,gss_name
Northumberland,College with North Seaton,College
Harborough,Market Harborough - Welland,Market Harborough-Welland
Harborough,Market Harborough - Logan,Market Harborough-Logan
Harborough,Market Harborough - Little Bowden,Market Harborough-Little Bowden
Harborough,Market Harborough - Great Bowden & Arden,Market Harborough-Great Bowden & Arden
Harborough,Broughton Astley - Primethorpe & Sutton,Broughton Astley-Primethorpe & Sutton
Shropshire,Whitchurch West,Oswestry West
Shropshire,Sundorne and Old Heath,Sundorne
Central Bedfordshire,Leighton Linslade West,Leighton-Linslade West
Central Bedfordshire,Leighton Linslade South,Leighton-Linslade South
Central Bedfordshire,Leighton Linslade North,Leighton-Linslade North
Highland,Thurso and North West Caithness,Thurso and Northwest Caithness
Chelmsford,South Woodham - Elmwood and Woodville,South Woodham-Elmwood and Woodville
Chelmsford,South Woodham - Chetwood and Collingwood,South Woodham-Chetwood and Collingwood
Melton,Waltham on the Wolds,Waltham-on-the-Wolds
Melton,Frisby on the Wreake,Frisby-on-the-Wreake
Doncaster,Adwick-Le-Street and Carcroft,Adwick le Street & Carcroft
Doncaster,Tickhill & Wadworth,Tickhill & Wadsworth
Aberdeenshire,Mid-Formartine,Mid Formartine
Aberdeenshire,Banchory and Mid-Deeside,Banchory and Mid Deeside
East Riding of Yorkshire,"Snaith, Airmyn and Rawcliffe and Marshland","Snaith, Airmyn, Rawcliffe and Marshland"
Boston,Five Villages,Five Village
West Lindsey,Gainsborough South West,Gainsborough South-West
Uttlesford,Broad Oak & The Hallingsburys,Broad Oak & the Hallingburys
Breckland,Attleborough Burgh & Havercroft,Attleborough Burgh & Haverscroft
East Cambridgeshire,Downham,Downham Villages
Ribble Valley,Alston and Hothershall,Alston & Hothersall
Bath and North East Somerset,Publow with Whitchurch,Publow & Whitchurch
Mid Suffolk,Stadbroke and Laxfield,Stradbroke & Laxfield
Stoke-on-Trent,Trent Vale & Oakhill,Trent Vale & Oak Hill
Tonbridge and Malling,"East Peckham, West Peckham, Mereworth & Wateringbury","East and West Peckham, Mereworth & Wateringbury"
Waverley,Witley & Milford,Milford & Witley
Blaby,Ravenhurst & Fosse,Braunstone Ravenhurst
Mole Valley,Ashstead Park,Ashtead Park
North Hertfordshire,Hitchin Highbury,Hitchen Highbury
Worcester,St. Peter's,St Peter's Parish
Tandridge,"Warlingham East, Chelsham & Farleigh",Warlingham East & Chelsham & Farleigh
Aberdeen City,George Street/Harbour,George St/Harbour
East Lothian,Preston Seton and Gosford,"Preston, Seton and Gosford"
Buckinghamshire,Flackwell Heath & The Wooburns,"Flackwell Heath, Little Marlow and Marlow South East"
Buckinghamshire,Burnham,Farnham Common and Burnham Beeches
Buckinghamshire,Princes Risborough,The Risboroughs
Buckinghamshire,The Missendens,Great Missenden
Buckinghamshire,Quainton,Bernwood
Buckinghamshire,Long Crendon,Chess Valley
