lad_code,council,ward,party,candidate,votes,source
E07000199,Tamworth,Wilnecote,Labour,Dave Foster,969,en.wikipedia.org/wiki/2024_Tamworth_Borough_Council_election (2026 poll postponed after Labour candidate's death; latest valid contest is 2024)
E08000032,Bradford,Idle and Thackley,LibDem,Alun Owen Griffiths,2499,en.wikipedia.org/wiki/2024_City_of_Bradford_Metropolitan_District_Council_election (2026 poll postponed to June 2026 after candidate's death; latest valid contest is 2024)
