lad_code,council,ward,party,candidate,votes,source
S12000020,Moray,Buckie,Conservative,Neil McLennan,,en.wikipedia.org/wiki/2022_Moray_Council_election (uncontested; 3-way Con/LD/SNP tie → alphabetical tie-break)
E09000017,Hillingdon,Hillingdon West,Conservative,Adam Bennett,1124,en.wikipedia.org/wiki/2022_Hillingdon_London_Borough_Council_election (2026 poll postponed after candidate's death; latest valid contest is 2022)
